accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -32.039701 -40.067914 0.000326 1.608280e+01
1 5.000000e-03 1.000000e+05 -30.147441 -30.147441 1.000000 1.608604e+01
2 5.000000e-03 1.000000e+05 -30.293155 -30.293155 0.864405 1.606407e+01
3 5.000000e-03 1.000000e+05 -29.909627 -29.909627 1.000000 1.607220e+01
4 5.000000e-03 1.000000e+05 -29.182421 -29.182421 1.000000 1.608400e+01
5 5.000000e-03 1.000000e+05 -28.528596 -28.528596 1.000000 1.608670e+01
6 5.000000e-03 1.000000e+05 -28.791454 -28.791454 0.768851 1.606301e+01
7 5.000000e-03 1.000000e+05 -28.616119 -28.616119 1.000000 1.607456e+01
7 5.000000e-03 1.000000e+05 -28.616119 -30.549620 0.144641 1.608289e+01
7 5.000000e-03 1.000000e+05 -28.616119 -29.128574 0.599023 1.608667e+01
7 5.000000e-03 1.000000e+05 -28.616119 -29.110947 0.609676 1.606594e+01
8 5.000000e-03 1.000000e+05 -28.779085 -28.779085 0.849620 1.607379e+01
9 5.000000e-03 1.000000e+05 -28.259294 -28.259294 1.000000 1.608435e+01
10 5.000000e-03 1.000000e+05 -28.426977 -28.426977 0.845622 1.608790e+01
11 5.000000e-03 1.000000e+05 -30.217021 -30.217021 0.166953 1.606694e+01
12 5.000000e-03 1.000000e+05 -29.681659 -29.681659 1.000000 1.607251e+01
13 5.000000e-03 1.000000e+05 -29.756349 -29.756349 0.928031 1.608227e+01
14 5.000000e-03 1.000000e+05 -29.687101 -29.687101 1.000000 1.608845e+01
15 5.000000e-03 1.000000e+05 -30.492150 -30.492150 0.447066 1.606797e+01
15 5.000000e-03 1.000000e+05 -30.492150 -31.206201 0.489656 1.607354e+01
15 5.000000e-03 1.000000e+05 -30.492150 -31.402554 0.402361 1.608529e+01
16 5.000000e-03 1.000000e+05 -29.557562 -29.557562 1.000000 1.608688e+01
17 5.000000e-03 1.000000e+05 -29.672499 -29.672499 0.891422 1.606409e+01
17 5.000000e-03 1.000000e+05 -29.672499 -30.810697 0.320396 1.607520e+01
17 5.000000e-03 1.000000e+05 -29.672499 -32.284158 0.073413 1.608106e+01
17 5.000000e-03 1.000000e+05 -29.672499 -30.832214 0.313576 1.608949e+01
18 5.000000e-03 1.000000e+05 -30.040699 -30.040699 0.691979 1.606683e+01
19 5.000000e-03 1.000000e+05 -29.215403 -29.215403 1.000000 1.607435e+01
19 5.000000e-03 1.000000e+05 -29.215403 -32.035135 0.059622 1.608301e+01
20 5.000000e-03 1.000000e+05 -30.244134 -30.244134 0.357460 1.608760e+01
20 5.000000e-03 1.000000e+05 -30.244134 -31.158271 0.400863 1.606607e+01
21 5.000000e-03 1.000000e+05 -31.232853 -31.232853 0.372053 1.607444e+01
22 5.000000e-03 1.000000e+05 -31.179022 -31.179022 1.000000 1.608535e+01
23 5.000000e-03 1.000000e+05 -31.250473 -31.250473 0.931042 1.609053e+01
24 5.000000e-03 1.000000e+05 -31.744231 -31.744231 0.610328 1.607139e+01
25 5.000000e-03 1.000000e+05 -30.799553 -30.799553 1.000000 1.607640e+01
26 5.000000e-03 1.000000e+05 -30.621083 -30.621083 1.000000 1.608805e+01
27 5.000000e-03 1.000000e+05 -29.414405 -29.414405 1.000000 1.608907e+01
28 5.000000e-03 1.000000e+05 -31.310978 -31.310978 0.150082 1.607030e+01
29 5.000000e-03 1.000000e+05 -31.114753 -31.114753 1.000000 1.607713e+01
30 5.000000e-03 1.000000e+05 -30.983401 -30.983401 1.000000 1.608672e+01
31 5.000000e-03 1.000000e+05 -30.453274 -30.453274 1.000000 1.608874e+01
31 5.000000e-03 1.000000e+05 -30.453274 -65.452816 0.000000 1.606781e+01
32 5.000000e-03 1.000000e+05 -30.118903 -30.118903 1.000000 1.607546e+01
32 5.000000e-03 1.000000e+05 -30.118903 -30.493049 0.687877 1.608614e+01
32 5.000000e-03 1.000000e+05 -30.118903 -31.691774 0.207449 1.609030e+01
33 5.000000e-03 1.000000e+05 -29.653783 -29.653783 1.000000 1.607023e+01
34 5.000000e-03 1.000000e+05 -28.909621 -28.909621 1.000000 1.607722e+01
35 5.000000e-03 1.000000e+05 -27.347602 -27.347602 1.000000 1.608643e+01
36 5.000000e-03 1.000000e+05 -26.497141 -26.497141 1.000000 1.609173e+01
37 5.000000e-03 1.000000e+05 -26.399173 -26.399173 1.000000 1.607052e+01
38 5.000000e-03 1.000000e+05 -27.264516 -27.264516 0.420907 1.608082e+01
39 5.000000e-03 1.000000e+05 -27.462760 -27.462760 0.820170 1.608744e+01
40 5.000000e-03 1.000000e+05 -26.585140 -26.585140 1.000000 1.608836e+01
40 5.000000e-03 1.000000e+05 -26.585140 -27.216009 0.532129 1.606965e+01
40 5.000000e-03 1.000000e+05 -26.585140 -28.018939 0.238402 1.607390e+01
41 5.000000e-03 1.000000e+05 -27.043193 -27.043193 0.632514 1.608527e+01
42 5.000000e-03 1.000000e+05 -26.871493 -26.871493 1.000000 1.608855e+01
43 5.000000e-03 1.000000e+05 -26.708969 -26.708969 1.000000 1.606743e+01
43 5.000000e-03 1.000000e+05 -26.708969 -27.293288 0.557485 1.607564e+01
43 5.000000e-03 1.000000e+05 -26.708969 -27.831341 0.325507 1.608610e+01
43 5.000000e-03 1.000000e+05 -26.708969 -29.150024 0.087069 1.608601e+01
43 5.000000e-03 1.000000e+05 -26.708969 -27.761072 0.349202 1.606825e+01
44 5.000000e-03 1.000000e+05 -27.487819 -27.487819 0.458933 1.607397e+01
44 5.000000e-03 1.000000e+05 -27.487819 -28.176378 0.502299 1.608630e+01
44 5.000000e-03 1.000000e+05 -27.487819 -29.769951 0.102066 1.608920e+01
45 5.000000e-03 1.000000e+05 -27.008090 -27.008090 1.000000 1.606403e+01
45 5.000000e-03 1.000000e+05 -27.008090 -27.400657 0.675321 1.607435e+01
46 5.000000e-03 1.000000e+05 -26.841143 -26.841143 1.000000 1.608503e+01
47 5.000000e-03 1.000000e+05 -25.255108 -25.255108 1.000000 1.608954e+01
48 5.000000e-03 1.000000e+05 -25.296992 -25.296992 0.958981 1.606957e+01
49 5.000000e-03 1.000000e+05 -25.554881 -25.554881 0.772682 1.607557e+01
49 5.000000e-03 1.000000e+05 -25.554881 -27.402371 0.157632 1.608449e+01
50 5.000000e-03 1.000000e+05 -25.327544 -25.327544 1.000000 1.608982e+01
51 5.000000e-03 1.000000e+05 -26.609314 -26.609314 0.277546 1.606953e+01
52 5.000000e-03 1.000000e+05 -25.574356 -25.574356 1.000000 1.607892e+01
52 5.000000e-03 1.000000e+05 -25.574356 -26.928708 0.258114 1.608933e+01
52 5.000000e-03 1.000000e+05 -25.574356 -27.043508 0.230121 1.609294e+01
53 5.000000e-03 1.000000e+05 -25.338915 -25.338915 1.000000 1.607087e+01
53 5.000000e-03 1.000000e+05 -25.338915 -26.198641 0.423278 1.607597e+01
53 5.000000e-03 1.000000e+05 -25.338915 -26.871825 0.215906 1.608586e+01
53 5.000000e-03 1.000000e+05 -25.338915 -26.634017 0.273870 1.609045e+01
53 5.000000e-03 1.000000e+05 -25.338915 -26.052994 0.489643 1.606467e+01
54 5.000000e-03 1.000000e+05 -25.602410 -25.602410 0.768361 1.607614e+01
54 5.000000e-03 1.000000e+05 -25.602410 -26.360098 0.468749 1.608558e+01
54 5.000000e-03 1.000000e+05 -25.602410 -25.998040 0.673256 1.608708e+01
55 5.000000e-03 1.000000e+05 -26.150397 -26.150397 0.578113 1.606933e+01
55 5.000000e-03 1.000000e+05 -26.150397 -27.803215 0.191509 1.607722e+01
55 5.000000e-03 1.000000e+05 -26.150397 -27.196391 0.351342 1.608770e+01
55 5.000000e-03 1.000000e+05 -26.150397 -27.162829 0.363334 1.608917e+01
56 5.000000e-03 1.000000e+05 -26.892777 -26.892777 0.475980 1.606812e+01
57 5.000000e-03 1.000000e+05 -26.672610 -26.672610 1.000000 1.607465e+01
57 5.000000e-03 1.000000e+05 -26.672610 -28.633635 0.140714 1.608843e+01
58 5.000000e-03 1.000000e+05 -26.571282 -26.571282 1.000000 1.608915e+01
59 5.000000e-03 1.000000e+05 -28.035412 -28.035412 0.231279 1.606833e+01
59 5.000000e-03 1.000000e+05 -28.035412 -29.186250 0.316371 1.607861e+01
60 5.000000e-03 1.000000e+05 -27.495695 -27.495695 1.000000 1.608881e+01
60 5.000000e-03 1.000000e+05 -27.495695 -28.524282 0.357512 1.609006e+01
60 5.000000e-03 1.000000e+05 -27.495695 -28.422759 0.395714 1.607169e+01
60 5.000000e-03 1.000000e+05 -27.495695 -28.564231 0.343511 1.607709e+01
