accepted delta gamma Lprev Lstar alpha time
42 5.000000e-03 1.000000e+05 -127.725964 -127.725964 1.000000 5.727312e-01
42 5.000000e-03 1.000000e+05 -127.725964 -130.213250 0.083135 5.726983e-01
42 5.000000e-03 1.000000e+05 -127.725964 -130.416394 0.067852 5.729522e-01
42 5.000000e-03 1.000000e+05 -127.725964 -132.764708 0.006482 5.729061e-01
42 5.000000e-03 1.000000e+05 -127.725964 -131.006249 0.037618 5.730247e-01
42 5.000000e-03 1.000000e+05 -127.725964 -128.524193 0.450125 5.728757e-01
43 5.000000e-03 1.000000e+05 -123.878065 -123.878065 1.000000 5.729327e-01
43 5.000000e-03 1.000000e+05 -123.878065 -125.452664 0.207091 5.730251e-01
44 5.000000e-03 1.000000e+05 -124.284038 -124.284038 0.666328 5.729081e-01
45 5.000000e-03 1.000000e+05 -122.231505 -122.231505 1.000000 5.729493e-01
45 5.000000e-03 1.000000e+05 -122.231505 -125.205915 0.051078 5.730085e-01
45 5.000000e-03 1.000000e+05 -122.231505 -123.685131 0.233721 5.729540e-01
46 5.000000e-03 1.000000e+05 -122.377790 -122.377790 0.863912 5.730709e-01
46 5.000000e-03 1.000000e+05 -122.377790 -125.038490 0.069899 5.730288e-01
46 5.000000e-03 1.000000e+05 -122.377790 -124.003424 0.196787 5.730812e-01
47 5.000000e-03 1.000000e+05 -124.011496 -124.011496 0.195205 5.728273e-01
48 5.000000e-03 1.000000e+05 -124.011367 -124.011367 1.000000 5.727154e-01
49 5.000000e-03 1.000000e+05 -125.346502 -125.346502 0.263123 5.726934e-01
49 5.000000e-03 1.000000e+05 -125.346502 -126.820173 0.229083 5.730137e-01
50 5.000000e-03 1.000000e+05 -124.980463 -124.980463 1.000000 5.728086e-01
50 5.000000e-03 1.000000e+05 -124.980463 -131.824553 0.001066 5.730209e-01
51 5.000000e-03 1.000000e+05 -123.184285 -123.184285 1.000000 5.727975e-01
52 5.000000e-03 1.000000e+05 -119.198809 -119.198809 1.000000 5.727978e-01
53 5.000000e-03 1.000000e+05 -117.532336 -117.532336 1.000000 5.729729e-01
53 5.000000e-03 1.000000e+05 -117.532336 -124.626926 0.000830 5.726242e-01
54 5.000000e-03 1.000000e+05 -116.962915 -116.962915 1.000000 5.729937e-01
54 5.000000e-03 1.000000e+05 -116.962915 -119.325486 0.094178 5.730001e-01
54 5.000000e-03 1.000000e+05 -116.962915 -119.002670 0.130060 5.726362e-01
55 5.000000e-03 1.000000e+05 -118.872557 -118.872557 0.148133 5.729578e-01
56 5.000000e-03 1.000000e+05 -118.324094 -118.324094 1.000000 5.729126e-01
56 5.000000e-03 1.000000e+05 -118.324094 -121.913062 0.027627 5.728698e-01
56 5.000000e-03 1.000000e+05 -118.324094 -122.079867 0.023382 5.727240e-01
56 5.000000e-03 1.000000e+05 -118.324094 -120.423303 0.122553 5.730821e-01
56 5.000000e-03 1.000000e+05 -118.324094 -119.913948 0.203955 5.725601e-01
56 5.000000e-03 1.000000e+05 -118.324094 -119.990040 0.189012 5.729382e-01
56 5.000000e-03 1.000000e+05 -118.324094 -119.732946 0.244424 5.728040e-01
57 5.000000e-03 1.000000e+05 -118.165474 -118.165474 1.000000 5.730588e-01
58 5.000000e-03 1.000000e+05 -119.368251 -119.368251 0.300359 5.726859e-01
59 5.000000e-03 1.000000e+05 -119.070222 -119.070222 1.000000 5.729472e-01
60 5.000000e-03 1.000000e+05 -118.797608 -118.797608 1.000000 5.733576e-01
61 5.000000e-03 1.000000e+05 -118.626688 -118.626688 1.000000 5.732341e-01
61 5.000000e-03 1.000000e+05 -118.626688 -120.277650 0.191865 5.727389e-01
62 5.000000e-03 1.000000e+05 -117.903178 -117.903178 1.000000 5.728010e-01
63 5.000000e-03 1.000000e+05 -117.444727 -117.444727 1.000000 5.729609e-01
64 5.000000e-03 1.000000e+05 -117.595137 -117.595137 0.860355 5.727810e-01
64 5.000000e-03 1.000000e+05 -117.595137 -119.451598 0.156225 5.727237e-01
64 5.000000e-03 1.000000e+05 -117.595137 -119.212570 0.198407 5.729246e-01
65 5.000000e-03 1.000000e+05 -118.668497 -118.668497 0.341858 5.726889e-01
