accepted	Lprev	Lstar	alpha	time
1		-0.000000	-0.000000	1.000000	5.545889e-03
2		-0.000000	-0.000000	1.000000	5.033824e-03
3		-0.000000	-0.000000	1.000000	7.350967e-03
4		-0.000000	-0.000000	1.000000	5.071310e-03
5		-0.000000	-0.000000	1.000000	4.862388e-03
6		-0.000000	-0.000000	1.000000	5.186532e-03
7		-0.000000	-0.000000	1.000000	5.170057e-03
8		-0.000000	-0.000000	1.000000	5.685448e-03
9		-0.000000	-0.000000	1.000000	6.758151e-03
10		-0.000000	-0.000000	1.000000	5.412650e-03
