accepted delta gamma Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -132.004087 -132.004087 1.000000 5.704739e-01
2 5.000000e-03 1.000000e+05 -127.043957 -127.043957 1.000000 5.682368e-01
3 5.000000e-03 1.000000e+05 -124.456165 -124.456165 1.000000 5.688386e-01
4 5.000000e-03 1.000000e+05 -121.206182 -121.206182 1.000000 5.678869e-01
5 5.000000e-03 1.000000e+05 -122.885577 -122.885577 0.186487 5.676473e-01
6 5.000000e-03 1.000000e+05 -118.217596 -118.217596 1.000000 5.682080e-01
7 5.000000e-03 1.000000e+05 -115.170986 -115.170986 1.000000 5.686824e-01
7 5.000000e-03 1.000000e+05 -115.170986 -120.500426 0.004847 5.670767e-01
7 5.000000e-03 1.000000e+05 -115.170986 -117.265216 0.123165 5.679142e-01
7 5.000000e-03 1.000000e+05 -115.170986 -116.147667 0.376559 5.681293e-01
8 5.000000e-03 1.000000e+05 -111.941549 -111.941549 1.000000 5.685301e-01
9 5.000000e-03 1.000000e+05 -110.895851 -110.895851 1.000000 5.679141e-01
10 5.000000e-03 1.000000e+05 -110.656974 -110.656974 1.000000 5.673615e-01
11 5.000000e-03 1.000000e+05 -108.556906 -108.556906 1.000000 5.678297e-01
12 5.000000e-03 1.000000e+05 -103.486346 -103.486346 1.000000 5.683075e-01
13 5.000000e-03 1.000000e+05 -100.878972 -100.878972 1.000000 5.676852e-01
14 5.000000e-03 1.000000e+05 -99.743845 -99.743845 1.000000 5.674552e-01
15 5.000000e-03 1.000000e+05 -100.322393 -100.322393 0.560712 5.679315e-01
16 5.000000e-03 1.000000e+05 -97.344736 -97.344736 1.000000 5.681665e-01
17 5.000000e-03 1.000000e+05 -97.359564 -97.359564 0.985281 5.669150e-01
17 5.000000e-03 1.000000e+05 -97.359564 -103.575218 0.001998 5.671009e-01
18 5.000000e-03 1.000000e+05 -96.920197 -96.920197 1.000000 5.683248e-01
18 5.000000e-03 1.000000e+05 -96.920197 -101.431688 0.010982 5.685715e-01
19 5.000000e-03 1.000000e+05 -91.125707 -91.125707 1.000000 5.668850e-01
20 5.000000e-03 1.000000e+05 -90.208841 -90.208841 1.000000 5.673313e-01
20 5.000000e-03 1.000000e+05 -90.208841 -95.524543 0.004914 5.678060e-01
21 5.000000e-03 1.000000e+05 -89.955241 -89.955241 1.000000 5.684648e-01
22 5.000000e-03 1.000000e+05 -87.537335 -87.537335 1.000000 5.670093e-01
22 5.000000e-03 1.000000e+05 -87.537335 -93.241025 0.003334 5.679968e-01
22 5.000000e-03 1.000000e+05 -87.537335 -91.383555 0.021360 5.680259e-01
22 5.000000e-03 1.000000e+05 -87.537335 -90.982277 0.031907 5.683714e-01
22 5.000000e-03 1.000000e+05 -87.537335 -91.038073 0.030175 5.671600e-01
23 5.000000e-03 1.000000e+05 -86.881124 -86.881124 1.000000 5.672621e-01
24 5.000000e-03 1.000000e+05 -84.707953 -84.707953 1.000000 5.678509e-01
24 5.000000e-03 1.000000e+05 -84.707953 -86.045515 0.262485 5.685460e-01
25 5.000000e-03 1.000000e+05 -82.847852 -82.847852 1.000000 5.667990e-01
26 5.000000e-03 1.000000e+05 -83.265352 -83.265352 0.658691 5.671821e-01
27 5.000000e-03 1.000000e+05 -83.104667 -83.104667 1.000000 5.678630e-01
27 5.000000e-03 1.000000e+05 -83.104667 -84.927736 0.161529 5.692468e-01
28 5.000000e-03 1.000000e+05 -83.295953 -83.295953 0.825896 5.669209e-01
28 5.000000e-03 1.000000e+05 -83.295953 -86.344837 0.047412 5.673603e-01
29 5.000000e-03 1.000000e+05 -80.238558 -80.238558 1.000000 5.678213e-01
29 5.000000e-03 1.000000e+05 -80.238558 -82.124883 0.151628 5.682739e-01
30 5.000000e-03 1.000000e+05 -80.222586 -80.222586 1.000000 5.670217e-01
31 5.000000e-03 1.000000e+05 -80.337160 -80.337160 0.891746 5.672885e-01
32 5.000000e-03 1.000000e+05 -79.420905 -79.420905 1.000000 5.680644e-01
32 5.000000e-03 1.000000e+05 -79.420905 -81.112244 0.184272 5.685189e-01
32 5.000000e-03 1.000000e+05 -79.420905 -81.189091 0.170642 5.667516e-01
33 5.000000e-03 1.000000e+05 -77.845187 -77.845187 1.000000 5.672617e-01
34 5.000000e-03 1.000000e+05 -76.428058 -76.428058 1.000000 5.677579e-01
35 5.000000e-03 1.000000e+05 -76.752782 -76.752782 0.722727 5.688116e-01
35 5.000000e-03 1.000000e+05 -76.752782 -77.873926 0.325907 5.668393e-01
35 5.000000e-03 1.000000e+05 -76.752782 -78.774128 0.132477 5.670906e-01
36 5.000000e-03 1.000000e+05 -76.153593 -76.153593 1.000000 5.680458e-01
36 5.000000e-03 1.000000e+05 -76.153593 -80.527192 0.012606 5.683653e-01
37 5.000000e-03 1.000000e+05 -75.790857 -75.790857 1.000000 5.669346e-01
37 5.000000e-03 1.000000e+05 -75.790857 -78.080897 0.101262 5.671061e-01
38 5.000000e-03 1.000000e+05 -76.100165 -76.100165 0.733954 5.681242e-01
38 5.000000e-03 1.000000e+05 -76.100165 -79.532184 0.032322 5.685106e-01
38 5.000000e-03 1.000000e+05 -76.100165 -79.452967 0.034986 5.671577e-01
39 5.000000e-03 1.000000e+05 -73.429929 -73.429929 1.000000 5.670892e-01
39 5.000000e-03 1.000000e+05 -73.429929 -76.811406 0.033997 5.678479e-01
40 5.000000e-03 1.000000e+05 -73.209164 -73.209164 1.000000 5.683480e-01
41 5.000000e-03 1.000000e+05 -70.270390 -70.270390 1.000000 5.668421e-01
41 5.000000e-03 1.000000e+05 -70.270390 -71.830883 0.210032 5.671843e-01
42 5.000000e-03 1.000000e+05 -69.168078 -69.168078 1.000000 5.677980e-01
42 5.000000e-03 1.000000e+05 -69.168078 -72.367635 0.040780 5.690282e-01
42 5.000000e-03 1.000000e+05 -69.168078 -72.727062 0.028468 5.669136e-01
43 5.000000e-03 1.000000e+05 -70.744762 -70.744762 0.206659 5.671172e-01
43 5.000000e-03 1.000000e+05 -70.744762 -75.641595 0.007470 5.680346e-01
43 5.000000e-03 1.000000e+05 -70.744762 -74.273646 0.029338 5.684042e-01
43 5.000000e-03 1.000000e+05 -70.744762 -72.527512 0.168175 5.669510e-01
44 5.000000e-03 1.000000e+05 -70.938386 -70.938386 0.823968 5.671235e-01
44 5.000000e-03 1.000000e+05 -70.938386 -74.686897 0.023553 5.679438e-01
44 5.000000e-03 1.000000e+05 -70.938386 -74.403801 0.031260 5.684556e-01
44 5.000000e-03 1.000000e+05 -70.938386 -72.658498 0.179046 5.668990e-01
45 5.000000e-03 1.000000e+05 -69.728381 -69.728381 1.000000 5.672516e-01
45 5.000000e-03 1.000000e+05 -69.728381 -71.171920 0.236091 5.679020e-01
45 5.000000e-03 1.000000e+05 -69.728381 -71.102276 0.253119 5.685466e-01
46 5.000000e-03 1.000000e+05 -68.002394 -68.002394 1.000000 5.668335e-01
47 5.000000e-03 1.000000e+05 -66.298417 -66.298417 1.000000 5.671125e-01
47 5.000000e-03 1.000000e+05 -66.298417 -67.088428 0.453840 5.680040e-01
