accepted	Lprev	Lstar	alpha	time
1		-6334.267264	-6334.267264	1.000000	7.547818e-01
2		-6327.760455	-6327.760455	1.000000	7.427673e-01
2		-6327.760455	-6331.010646	0.038767	7.667882e-01
2		-6327.760455	-6329.827230	0.126593	7.560609e-01
2		-6327.760455	-6330.850693	0.045491	7.529426e-01
3		-6300.085162	-6300.085162	1.000000	7.474297e-01
4		-6293.942184	-6293.942184	1.000000	7.719776e-01
4		-6293.942184	-6308.354963	0.000001	7.520494e-01
4		-6293.942184	-6306.960046	0.000002	7.429809e-01
4		-6293.942184	-6298.316103	0.012602	7.629265e-01
4		-6293.942184	-6304.948263	0.000017	7.308216e-01
4		-6293.942184	-6304.365386	0.000030	7.646660e-01
4		-6293.942184	-6296.670140	0.065353	7.561476e-01
4		-6293.942184	-6297.152670	0.040337	7.618271e-01
4		-6293.942184	-6298.845102	0.007425	7.661271e-01
5		-6293.762156	-6293.762156	1.000000	7.420421e-01
5		-6293.762156	-6295.699929	0.144024	7.608887e-01
5		-6293.762156	-6300.927114	0.000773	7.411080e-01
6		-6287.804760	-6287.804760	1.000000	7.458876e-01
7		-6284.818652	-6284.818652	1.000000	7.667847e-01
7		-6284.818652	-6294.623332	0.000055	7.604515e-01
7		-6284.818652	-9746.073207	0.000000	7.570583e-01
7		-6284.818652	-9800.317090	0.000000	7.412484e-01
7		-6284.818652	-9695.628911	0.000000	7.557040e-01
7		-6284.818652	-9710.788012	0.000000	7.414718e-01
7		-6284.818652	-9692.256508	0.000000	7.589802e-01
7		-6284.818652	-9714.421572	0.000000	7.405566e-01
7		-6284.818652	-9711.137422	0.000000	7.551606e-01
7		-6284.818652	-9743.328173	0.000000	7.457882e-01
7		-6284.818652	-9726.339810	0.000000	7.438246e-01
7		-6284.818652	-9767.945602	0.000000	7.511650e-01
7		-6284.818652	-9651.347729	0.000000	7.629847e-01
7		-6284.818652	-9694.636860	0.000000	7.569793e-01
7		-6284.818652	-9734.569483	0.000000	7.515249e-01
7		-6284.818652	-9652.856910	0.000000	7.594712e-01
7		-6284.818652	-9727.966791	0.000000	7.498488e-01
7		-6284.818652	-9703.739459	0.000000	8.102648e-01
7		-6284.818652	-9702.815276	0.000000	7.553424e-01
7		-6284.818652	-9690.071671	0.000000	7.554006e-01
7		-6284.818652	-9767.005754	0.000000	7.642456e-01
7		-6284.818652	-9746.789640	0.000000	7.471340e-01
7		-6284.818652	-9678.901966	0.000000	7.533719e-01
7		-6284.818652	-9794.545585	0.000000	7.668262e-01
7		-6284.818652	-9774.935552	0.000000	7.402488e-01
7		-6284.818652	-9751.284804	0.000000	7.201618e-01
7		-6284.818652	-9712.398596	0.000000	7.481970e-01
7		-6284.818652	-9782.398568	0.000000	7.575979e-01
7		-6284.818652	-9739.040506	0.000000	7.484360e-01
7		-6284.818652	-9742.711697	0.000000	7.630608e-01
7		-6284.818652	-9633.530100	0.000000	7.410396e-01
7		-6284.818652	-9726.455250	0.000000	7.697358e-01
7		-6284.818652	-9784.369815	0.000000	7.295957e-01
7		-6284.818652	-9732.484059	0.000000	7.584077e-01
7		-6284.818652	-9755.544110	0.000000	7.449811e-01
