accepted	Lprev	Lstar	alpha	time
1		-467.663569	-467.663569	1.000000	2.122369e+00
2		-457.523379	-457.523379	1.000000	2.128633e+00
2		-457.523379	-464.012202	0.001520	2.117603e+00
3		-450.153600	-450.153600	1.000000	2.116833e+00
3		-450.153600	-460.308390	0.000039	2.099242e+00
3		-450.153600	-456.958281	0.001109	2.085988e+00
3		-450.153600	-461.702332	0.000010	2.122834e+00
4		-432.107602	-432.107602	1.000000	2.118891e+00
5		-431.395083	-431.395083	1.000000	2.119627e+00
5		-431.395083	-438.769354	0.000627	2.136514e+00
6		-414.505512	-414.505512	1.000000	2.122233e+00
6		-414.505512	-422.172897	0.000468	2.132455e+00
6		-414.505512	-429.879339	0.000000	2.190408e+00
6		-414.505512	-423.590688	0.000113	2.144448e+00
6		-414.505512	-414.950666	0.640725	2.131456e+00
6		-414.505512	-428.689721	0.000001	2.200530e+00
6		-414.505512	-432.597604	0.000000	2.130525e+00
7		-411.992396	-411.992396	1.000000	2.123050e+00
7		-411.992396	-418.941553	0.000959	2.121967e+00
7		-411.992396	-419.759739	0.000423	2.124060e+00
8		-405.475054	-405.475054	1.000000	2.139597e+00
8		-405.475054	-452.430029	0.000000	2.129440e+00
8		-405.475054	-449.054770	0.000000	2.132084e+00
8		-405.475054	-440.210954	0.000000	2.135950e+00
8		-405.475054	-462.284288	0.000000	2.102894e+00
8		-405.475054	-451.368816	0.000000	2.127117e+00
8		-405.475054	-445.698676	0.000000	2.119955e+00
8		-405.475054	-440.188881	0.000000	2.147025e+00
8		-405.475054	-451.970557	0.000000	2.130860e+00
8		-405.475054	-439.526263	0.000000	2.131485e+00
8		-405.475054	-449.419468	0.000000	2.135215e+00
8		-405.475054	-456.397637	0.000000	2.131383e+00
8		-405.475054	-437.576025	0.000000	2.132406e+00
8		-405.475054	-445.430331	0.000000	2.135648e+00
8		-405.475054	-447.757276	0.000000	2.130943e+00
8		-405.475054	-433.212807	0.000000	2.128745e+00
8		-405.475054	-462.265179	0.000000	2.127022e+00
8		-405.475054	-441.076606	0.000000	2.134080e+00
8		-405.475054	-445.649645	0.000000	2.126800e+00
8		-405.475054	-456.091109	0.000000	2.139164e+00
8		-405.475054	-447.942086	0.000000	2.122589e+00
8		-405.475054	-444.514522	0.000000	2.131731e+00
8		-405.475054	-437.531510	0.000000	2.122852e+00
8		-405.475054	-445.118552	0.000000	2.144555e+00
8		-405.475054	-443.756621	0.000000	2.125005e+00
8		-405.475054	-436.361632	0.000000	2.139053e+00
8		-405.475054	-443.019872	0.000000	2.131196e+00
8		-405.475054	-457.879052	0.000000	2.128527e+00
8		-405.475054	-446.690463	0.000000	2.113236e+00
8		-405.475054	-447.166302	0.000000	2.118745e+00
8		-405.475054	-467.411568	0.000000	2.132205e+00
8		-405.475054	-444.243675	0.000000	2.128834e+00
8		-405.475054	-461.577849	0.000000	2.137318e+00
8		-405.475054	-444.865728	0.000000	2.130847e+00
8		-405.475054	-453.037378	0.000000	2.119071e+00
8		-405.475054	-455.201784	0.000000	2.146833e+00
8		-405.475054	-425.842707	0.000000	2.131249e+00
8		-405.475054	-444.877680	0.000000	2.130024e+00
8		-405.475054	-440.806838	0.000000	2.137713e+00
8		-405.475054	-436.505630	0.000000	2.130644e+00
8		-405.475054	-450.444240	0.000000	2.129156e+00
8		-405.475054	-445.539150	0.000000	2.136469e+00
8		-405.475054	-438.684337	0.000000	2.132789e+00
8		-405.475054	-462.132469	0.000000	2.125168e+00
8		-405.475054	-460.777991	0.000000	2.141883e+00
8		-405.475054	-447.180721	0.000000	2.131019e+00
8		-405.475054	-460.248561	0.000000	2.128389e+00
8		-405.475054	-453.076781	0.000000	2.137973e+00
8		-405.475054	-439.855974	0.000000	2.131749e+00
8		-405.475054	-439.100816	0.000000	2.128350e+00
8		-405.475054	-442.518951	0.000000	2.138243e+00
8		-405.475054	-439.848041	0.000000	2.129794e+00
8		-405.475054	-445.793681	0.000000	2.129765e+00
8		-405.475054	-448.946373	0.000000	2.124841e+00
8		-405.475054	-435.248141	0.000000	2.132897e+00
8		-405.475054	-448.369419	0.000000	2.128322e+00
