accepted	Lprev	Lstar	alpha	time
1		-94.545361	-94.545361	1.000000	2.159236e+00
2		-95.000364	-95.000364	0.634446	2.127502e+00
2		-95.000364	-95.558859	0.572070	2.138065e+00
3		-94.269771	-94.269771	1.000000	2.130305e+00
4		-94.861869	-94.861869	0.553166	2.167428e+00
5		-95.014931	-95.014931	0.858077	2.159867e+00
6		-94.511238	-94.511238	1.000000	2.137392e+00
7		-95.114741	-95.114741	0.546893	2.130475e+00
7		-95.114741	-95.437385	0.724232	2.128127e+00
8		-94.635404	-94.635404	1.000000	2.138301e+00
8		-94.635404	-95.804522	0.310641	2.131812e+00
9		-96.434922	-96.434922	0.165379	2.127555e+00
10		-94.992906	-94.992906	1.000000	2.137449e+00
11		-94.759464	-94.759464	1.000000	2.160208e+00
12		-94.380333	-94.380333	1.000000	2.136687e+00
13		-93.241433	-93.241433	1.000000	2.134748e+00
14		-92.949290	-92.949290	1.000000	2.131063e+00
15		-93.102572	-93.102572	0.857888	2.131691e+00
16		-93.246348	-93.246348	0.866082	2.127291e+00
17		-93.704064	-93.704064	0.632727	2.130833e+00
18		-93.305308	-93.305308	1.000000	2.136839e+00
18		-93.305308	-93.735024	0.650694	2.150378e+00
19		-93.897854	-93.897854	0.552917	2.139562e+00
20		-93.703258	-93.703258	1.000000	2.129545e+00
21		-93.917955	-93.917955	0.806786	2.126730e+00
22		-94.037226	-94.037226	0.887568	2.139280e+00
23		-93.387451	-93.387451	1.000000	2.228807e+00
24		-93.292179	-93.292179	1.000000	2.129048e+00
25		-93.432041	-93.432041	0.869477	2.137140e+00
26		-93.702389	-93.702389	0.763114	2.131540e+00
27		-94.035390	-94.035390	0.716770	2.123059e+00
28		-93.779579	-93.779579	1.000000	2.129480e+00
29		-93.669269	-93.669269	1.000000	2.129648e+00
29		-93.669269	-94.189324	0.594488	2.127984e+00
30		-93.664533	-93.664533	1.000000	2.138043e+00
31		-93.587752	-93.587752	1.000000	2.130423e+00
32		-93.957282	-93.957282	0.691059	2.128202e+00
33		-94.219096	-94.219096	0.769654	2.136733e+00
34		-93.839566	-93.839566	1.000000	2.131447e+00
35		-93.449879	-93.449879	1.000000	2.129488e+00
36		-93.483217	-93.483217	0.967211	2.146707e+00
36		-93.483217	-94.211537	0.482719	2.120269e+00
37		-93.813789	-93.813789	0.718513	2.128973e+00
38		-93.332814	-93.332814	1.000000	2.136957e+00
39		-93.260527	-93.260527	1.000000	2.130584e+00
40		-92.705344	-92.705344	1.000000	2.127926e+00
41		-92.689381	-92.689381	1.000000	2.138453e+00
42		-92.481110	-92.481110	1.000000	2.127185e+00
43		-92.840638	-92.840638	0.698006	2.127890e+00
44		-92.747359	-92.747359	1.000000	2.135753e+00
45		-92.703869	-92.703869	1.000000	2.130905e+00
46		-92.711954	-92.711954	0.991948	2.127754e+00
47		-92.260511	-92.260511	1.000000	2.138149e+00
48		-92.684211	-92.684211	0.654620	2.129192e+00
