accepted	Lprev	Lstar	alpha	time
1		-93.844609	-93.844609	1.000000	1.376818e+00
2		-95.198819	-95.198819	0.258151	1.498606e+00
2		-95.198819	-96.935616	0.176083	3.737571e+00
3		-93.019730	-93.019730	1.000000	1.131180e+00
4		-94.804022	-94.804022	0.167916	2.665914e+00
4		-94.804022	-95.270747	0.627053	2.060704e+00
5		-93.588608	-93.588608	1.000000	1.570095e+00
6		-95.315368	-95.315368	0.177860	1.931272e+00
6		-95.315368	-96.445576	0.322966	1.066220e+00
7		-94.014369	-94.014369	1.000000	3.729520e+00
8		-93.272461	-93.272461	1.000000	1.537189e+00
9		-94.645700	-94.645700	0.253285	1.959746e+00
10		-93.040889	-93.040889	1.000000	2.020373e+00
11		-93.261122	-93.261122	0.802331	1.147119e+00
12		-92.208561	-92.208561	1.000000	1.728206e+00
13		-88.942638	-88.942638	1.000000	3.899295e+00
14		-88.258486	-88.258486	1.000000	3.068253e+00
14		-88.258486	-88.783771	0.591387	3.607464e+00
15		-88.908188	-88.908188	0.522201	2.490840e+00
15		-88.908188	-90.128155	0.295240	2.067335e+00
16		-87.606635	-87.606635	1.000000	1.330517e+00
16		-87.606635	-88.586115	0.375506	1.267499e+00
16		-87.606635	-89.743884	0.117979	1.098116e+00
17		-86.957812	-86.957812	1.000000	1.787772e+00
17		-86.957812	-87.496905	0.583277	2.161972e+00
18		-87.150692	-87.150692	0.824581	2.070082e+00
19		-85.270276	-85.270276	1.000000	2.498435e+00
20		-85.176749	-85.176749	1.000000	3.128177e+00
21		-85.802407	-85.802407	0.534909	1.565869e+00
22		-86.505273	-86.505273	0.495164	1.325225e+00
23		-87.312135	-87.312135	0.446256	1.869316e+00
24		-86.845622	-86.845622	1.000000	4.662424e+00
25		-86.297344	-86.297344	1.000000	1.825377e+00
25		-86.297344	-87.963389	0.188993	2.960034e+00
25		-86.297344	-86.498158	0.818065	1.740239e+00
26		-86.041692	-86.041692	1.000000	3.229308e+00
27		-87.027299	-87.027299	0.373212	2.005681e+00
28		-87.790065	-87.790065	0.466375	1.513326e+00
29		-85.865816	-85.865816	1.000000	1.937798e+00
30		-84.844373	-84.844373	1.000000	2.400375e+00
31		-85.013846	-85.013846	0.844110	2.260479e+00
31		-85.013846	-87.031666	0.132945	1.953473e+00
