accepted	Lprev	Lstar	alpha	time
1		-82.431895	-82.431895	1.000000	1.160368e+00
1		-82.431895	-93.591262	0.000014	2.497953e+00
1		-82.431895	-100.775291	0.000000	3.172877e+00
2		-77.969425	-77.969425	1.000000	1.754194e+00
2		-77.969425	-87.454335	0.000076	1.159291e+00
2		-77.969425	-79.926930	0.141210	3.332669e+00
2		-77.969425	-85.580228	0.000495	5.392717e+00
2		-77.969425	-82.093459	0.016179	3.141071e+00
3		-77.064715	-77.064715	1.000000	1.625006e+00
3		-77.064715	-82.996004	0.002655	3.840502e+00
4		-64.519330	-64.519330	1.000000	1.811214e+00
4		-64.519330	-77.069906	0.000004	1.090409e+00
4		-64.519330	-70.276779	0.003159	1.891449e+00
5		-60.232010	-60.232010	1.000000	2.430081e+00
6		-59.294729	-59.294729	1.000000	2.397997e+00
6		-59.294729	-75.425556	0.000000	1.999276e+00
6		-59.294729	-61.047719	0.173255	4.630633e+00
6		-59.294729	-66.549354	0.000707	2.805991e+00
6		-59.294729	-70.072579	0.000021	2.159542e+00
6		-59.294729	-65.612660	0.001804	1.558496e+00
6		-59.294729	-74.394649	0.000000	1.069593e+00
6		-59.294729	-61.583128	0.101429	2.134043e+00
6		-59.294729	-68.227599	0.000132	1.963418e+00
6		-59.294729	-62.658958	0.034589	2.026991e+00
6		-59.294729	-66.199408	0.001003	1.863260e+00
6		-59.294729	-67.937443	0.000176	1.231878e+00
6		-59.294729	-70.204481	0.000018	1.230899e+00
6		-59.294729	-76.628296	0.000000	2.489411e+00
6		-59.294729	-60.594844	0.272500	1.232899e+00
6		-59.294729	-62.576893	0.037547	1.074140e+00
6		-59.294729	-78.978057	0.000000	1.481234e+00
6		-59.294729	-68.264638	0.000127	1.377791e+00
7		-60.204081	-60.204081	0.402785	1.193559e+00
7		-60.204081	-76.607375	0.000000	2.483505e+00
8		-60.006509	-60.006509	1.000000	2.462056e+00
8		-60.006509	-81.578896	0.000000	2.042363e+00
8		-60.006509	-69.852123	0.000053	1.401052e+00
8		-60.006509	-72.986160	0.000002	5.059914e+00
8		-60.006509	-84.438429	0.000000	1.105840e+00
8		-60.006509	-73.607651	0.000001	3.272028e+00
8		-60.006509	-65.928755	0.002679	1.463816e+00
8		-60.006509	-85.385697	0.000000	1.121133e+00
8		-60.006509	-69.439783	0.000080	1.630871e+00
8		-60.006509	-63.544739	0.029065	1.077005e+00
9		-56.487852	-56.487852	1.000000	1.120493e+00
9		-56.487852	-63.426581	0.000970	1.821369e+00
10		-49.825721	-49.825721	1.000000	1.970284e+00
10		-49.825721	-62.262000	0.000004	3.288635e+00
10		-49.825721	-68.390341	0.000000	2.359322e+00
10		-49.825721	-58.268149	0.000216	2.429858e+00
10		-49.825721	-56.959198	0.000798	1.100841e+00
10		-49.825721	-72.616659	0.000000	1.422496e+00
10		-49.825721	-59.556746	0.000059	1.292247e+00
10		-49.825721	-55.359722	0.003950	1.089297e+00
11		-45.522568	-45.522568	1.000000	1.628093e+00
11		-45.522568	-61.560870	0.000000	1.158176e+00
11		-45.522568	-58.402783	0.000003	2.259884e+00
11		-45.522568	-55.217110	0.000062	1.326161e+00
11		-45.522568	-65.400026	0.000000	1.988112e+00
11		-45.522568	-53.814327	0.000251	1.400470e+00
11		-45.522568	-58.779216	0.000002	1.528582e+00
11		-45.522568	-53.179142	0.000473	1.569709e+00
11		-45.522568	-50.257100	0.008787	1.298114e+00
11		-45.522568	-76.959224	0.000000	1.658895e+00
11		-45.522568	-68.467057	0.000000	1.140882e+00
11		-45.522568	-62.758854	0.000000	1.682508e+00
11		-45.522568	-57.266930	0.000008	3.158247e+00
11		-45.522568	-67.165097	0.000000	1.798866e+00
11		-45.522568	-59.760023	0.000001	2.299090e+00
